region	month	monthName	workType	category	plants	growMethod	text	detail	source
srednyaya-polosa	may	МАЙ	obrabotka	ogorod	tomat,kartofel,kapusta	grunt	Профилактическая обработка картофеля от колорадского жука (ручной сбор, биопрепараты). Обработка капусты от крестоцветной блошки (зола, табачная пыль). Профилактика фитофторы на томате — опрыскивание медьсодержащим препаратом.	При небольшом числе жуков эффективен ручной сбор вредителя и кладок с нижней стороны листьев. При массовом поражении — инсектициды: Актара (тиаметоксам, системного действия, защита 3-4 недели; работает при +10…+29°C, оптимально +12…+25°C) или Инта-Вир (контактно-кишечный, защита 10-15 дней), строго по инструкции на упаковке и с соблюдением срока ожидания.	
srednyaya-polosa	may	МАЙ	obrabotka	dekor	hosta,roza	grunt	Обработка роз от тли, пилильщика, чёрной пятнистости. Обработка хосты от слизней (метальдегид, ловушки) — пик активности.	От тли и пилильщика — Инта-Вир или биопрепарат Фитоверм (менее токсичен, можно применять чаще; эффективнее в тепле — от +12°C, лучше при +18°C и выше). От чёрной пятнистости и других грибковых пятнистостей — медьсодержащие препараты (ХОМ — не выше +30°C, 1%-я бордоская жидкость — +5…+25°C) или системные фунгициды на основе манкоцеба по инструкции.	
srednyaya-polosa	may	МАЙ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Обработка от короеда и хвойного клеща инсектоакарицидами при первых признаках усыхания. Профилактика фитофтороза корневой системы на переувлажнённых участках.	От короеда и хвойного клеща — инсектоакарициды на основе бифентрина («Клипер») или «Актеллик» строго по инструкции: эффективны только на самой ранней стадии, запущенное поражение короедом лечению не поддаётся — поражённые ветви/растения удаляют. От фитофтороза корней на переувлажнённых участках — полив «Превикуром» или «Фитоспорином-М» и в первую очередь нормализация дренажа.	
srednyaya-polosa	iyun	ИЮНЬ	obrabotka	ogorod	tomat,ogurets,kartofel,kapusta,morkov,svekla,luk,gorokh	grunt	Массовая обработка от колорадского жука (картофель), тли (горох, свёкла), морковной и луковой мухи. Профилактика фитофторы томата и огурца — опрыскивание каждые 10-14 дней в дождливую погоду. Обработка капусты от гусениц белянки и совки (Битоксибациллин, Лепидоцид).	При небольшом числе жуков эффективен ручной сбор вредителя и кладок с нижней стороны листьев. При массовом поражении — инсектициды: Актара (тиаметоксам, системного действия, защита 3-4 недели; работает при +10…+29°C, оптимально +12…+25°C) или Инта-Вир (контактно-кишечный, защита 10-15 дней), строго по инструкции на упаковке и с соблюдением срока ожидания.	
srednyaya-polosa	iyun	ИЮНЬ	obrabotka	dekor	hosta,barbaris,spireya,klen,roza,astilba	grunt	Повторная обработка роз от тли и мучнистой росы. Обработка хосты и астильбы от слизней. Профилактика мучнистой росы на клёне, барбарисе, спирее в условиях влажности.	От тли и мучнистой росы на розах — «Топаз» (от росы, от +10°C, оптимум +10…+25°C) и Инта-Вир или Фитоверм (от тли, эффективнее в тепле — от +12°C); обрабатывают в один день, но разными растворами. От слизней на хосте и астильбе — гранулы метальдегида («Гроза», «Слизнеед») вокруг кустов. От мучнистой росы на клёне, барбарисе, спирее — тот же «Топаз» или коллоидная сера (оптимум +20…+28°C, выше +30°C — ожог листьев) по инструкции.	
srednyaya-polosa	iyun	ИЮНЬ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Контроль пилильщика на сосне и еловой листовёртки — обработка при обнаружении гусениц.	От пилильщика на сосне и еловой листовёртки — «Инта-Вир» или «Актара» (+10…+29°C) при обнаружении гусениц/личинок, обработка по кроне. При небольшом числе вредителей эффективен и ручной сбор.	
srednyaya-polosa	iyul	ИЮЛЬ	obrabotka	ogorod	tomat,ogurets,kartofel,kapusta,kabachok	grunt	Обработка томата и картофеля от фитофторы (в пик влажности — каждые 7-10 дней). Обработка капусты от белянки, тли. Профилактика мучнистой росы на огурце и кабачке (сыворотка, фунгициды).	В период плодоношения используйте биопрепараты: Фитоспорин-М (10 г на 10 л воды) или связку Алирин-Б + Гамаир. До завязи при сильном развитии болезни допустимы контактные фунгициды на основе хлорокиси меди (ХОМ, не выше +30°C) — строго с соблюдением срока ожидания до сбора урожая, указанного на упаковке. Интервал между обработками: 7-10 дней в дождливую погоду, до 15 дней в сухую.	
srednyaya-polosa	iyul	ИЮЛЬ	obrabotka	dekor	hosta,gortenziya,bereskleet,roza,plyushch	grunt	Обработка роз от чёрной пятнистости и паутинного клеща. Обработка гортензии от тли, хосты от слизней. Контроль щитовки на плюще и бересклете.	От тли и пилильщика — Инта-Вир или биопрепарат Фитоверм (менее токсичен, можно применять чаще; эффективнее в тепле — от +12°C, лучше при +18°C и выше). От чёрной пятнистости и других грибковых пятнистостей — медьсодержащие препараты (ХОМ — не выше +30°C, 1%-я бордоская жидкость — +5…+25°C) или системные фунгициды на основе манкоцеба по инструкции.	
srednyaya-polosa	iyul	ИЮЛЬ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Обработка от короеда-типографа (профилактически при жаркой сухой погоде — фактор риска). Контроль побурения хвои — при грибковых поражениях повторная обработка фунгицидом.	Специфических инсектицидов для профилактики короеда-типографа нет — риск снижают поддержанием здоровья дерева (полив в засуху, без лишних повреждений коры); при явном заселении (буровая мука) дерево обычно уже не спасти, убирают до вылета следующего поколения жука. От побурения хвои грибкового происхождения — повторная обработка ХОМ (не выше +30°C) или «Абига-Пик» (+5…+25°C) по инструкции.	
srednyaya-polosa	avgust	АВГУСТ	obrabotka	ogorod	tomat,kartofel,kapusta,morkov,svekla	grunt	Последняя обработка томата и картофеля от фитофторы (за 20 дней до сбора). Обработка капусты поздних сортов от гусениц. Профилактика корневых гнилей моркови и свёклы при избыточном поливе.	Последняя обработка от фитофторы — ХОМ (не выше +30°C) или «Абига-Пик» (+5…+25°C, медьсодержащие, срок ожидания до сбора — 20 дней). От гусениц на капусте поздних сортов — биопрепарат «Лепидоцид» или «Битоксибациллин» (оба малоэффективны ниже +13°C, оптимум +18…+30°C; короткий срок ожидания). От корневых гнилей моркови и свёклы — в первую очередь сократить полив, при необходимости пролить «Фитоспорином-М».	
srednyaya-polosa	avgust	АВГУСТ	obrabotka	dekor	roza	grunt	Снижение частоты обработок роз, последнее опрыскивание от чёрной пятнистости. Контроль вредителей на хвойных перед подготовкой к зиме.	От тли и пилильщика — Инта-Вир или биопрепарат Фитоверм (менее токсичен, можно применять чаще; эффективнее в тепле — от +12°C, лучше при +18°C и выше). От чёрной пятнистости и других грибковых пятнистостей — медьсодержащие препараты (ХОМ — не выше +30°C, 1%-я бордоская жидкость — +5…+25°C) или системные фунгициды на основе манкоцеба по инструкции.	
srednyaya-polosa	avgust	АВГУСТ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Осмотр на признаки короеда (буровая мука, смоляные воронки) — при обнаружении удаление и обработка соседних растений.	При первых признаках заселения (буровая мука, смоляные воронки) поражённые ветви вырезают до здоровой древесины и сжигают, срезы обрабатывают садовым варом. Соседние здоровые растения профилактически опрыскивают инсектицидом на основе бифентрина («Клипер») — химобработка уже заселённого дерева малоэффективна.	
srednyaya-polosa	sentyabr	СЕНТЯБРЬ	obrabotka	ogorod	tomat,kartofel	grunt	После уборки урожая — удаление и уничтожение растительных остатков (ботва томата, картофеля) — профилактика зимовки фитофторы и вредителей. Обработка почвы биофунгицидом.	Обработка почвы после уборки ботвы — биофунгицид «Фитоспорин-М» или «Триходермин» по пролитой поверхности, снижает запас спор фитофторы и других патогенов к следующему сезону. Саму ботву томата и картофеля не компостируют, а сжигают или выносят с участка.	
srednyaya-polosa	oktyabr	ОКТЯБРЬ	obrabotka	dekor	roza,smorodina,kryzhovnik,barbaris,spireya	grunt	После полного листопада (обычно в конце октября — начале ноября) — искореняющая обработка роз, плодовых и декоративных кустарников (барбарис, спирея) медьсодержащим препаратом по голым ветвям и опавшим листьям. Профилактика зимующих стадий вредителей и грибных инфекций.	Искореняющая обработка — 3%-я бордоская жидкость (300 г медного купороса + 400 г извести на 10 л воды) или ХОМ (40 г на 10 л) по голым ветвям и опавшим листьям, в сухую безветренную погоду при +3…+5 °C. До полного листопада не проводят — медь обжигает ещё зелёные и окрашивающиеся листья и ослабляет растение перед зимой.	агропроверка: искореняющая обработка — только после полного листопада (kp.ru, aif.ru)
srednyaya-polosa	oktyabr	ОКТЯБРЬ	obrabotka	ogorod		grunt	Уборка и уничтожение растительных остатков с грядок, перекопка почвы с оборотом пласта (уничтожение зимующих личинок вредителей).	Обработка почвы после уборки ботвы — биофунгицид «Фитоспорин-М» или «Триходермин» по пролитой поверхности, снижает запас спор фитофторы и других патогенов к следующему сезону. Саму ботву томата и картофеля не компостируют, а сжигают или выносят с участка.	
srednyaya-polosa	oktyabr	ОКТЯБРЬ	obrabotka	dekor	gortenziya,klen,roza	grunt	Сбор и уничтожение опавших листьев роз, гортензии, клёна (источник грибковых спор). Искореняющая обработка приствольных кругов кустарников бордоской жидкостью.		
srednyaya-polosa	oktyabr	ОКТЯБРЬ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Осенняя профилактическая обработка хвойных (туя, можжевельник, самшит) медьсодержащим фунгицидом от шютте и грибных пятнистостей — при устойчивом дневном ниже +12 °C и до перехода днём ниже +5 °C.	ХОМ (40 г на 10 л воды, не выше +30°C) или «Абига-Пик» (+5…+25°C) по кроне в сухую погоду — снижает риск грибковых пятнистостей и шютте под зимним укрытием, когда вентиляция ограничена.	
srednyaya-polosa	noyabr	НОЯБРЬ	obrabotka	ogorod		grunt	Завершение осенней перекопки, обработка теплиц (окуривание серной шашкой или дезинфекция) от зимующих вредителей и патогенов.	Серную шашку («ФАС», расчёт по паспорту теплицы — обычно 1 шашка на 5 м²) применяют строго при плюсовой температуре в полностью герметичной теплице, без металлических некрашеных конструкций (сера вызывает коррозию) и без растений внутри. После обработки теплицу проветривают не менее суток.	
srednyaya-polosa	noyabr	НОЯБРЬ	obrabotka	dekor	gortenziya,roza	grunt	Профилактическая обработка роз и молодых гортензий фунгицидом перед укрытием на зиму. Осмотр вечнозелёных на вредителей перед укрытием.		
srednyaya-polosa	noyabr	НОЯБРЬ	obrabotka	dekor	tuya,mozhzhevelnik,samshit	grunt	Обработка от снежного шютте медьсодержащим препаратом до устойчивых морозов.	ХОМ (40 г на 10 л воды, не выше +30°C) или «Абига-Пик» (+5…+25°C) по кроне хвойных — последняя обработка сезона, проводится по сухой хвое незадолго до устойчивых морозов.	supersadovnik.ru, dacha6.ru — влагозарядковый полив хвойных перед зимой (2026-09)
srednyaya-polosa	dekabr	ДЕКАБРЬ	obrabotka	ogorod	kartofel,morkov,svekla,luk,chesnok	grunt	Контроль хранящегося урожая (картофель, морковь, свёкла, лук, чеснок) на гнили и вредителей (проволочник, плодожорка в хранилище).		
srednyaya-polosa	dekabr	ДЕКАБРЬ	obrabotka	dekor	gortenziya,roza	grunt	Периодический осмотр укрытых роз и гортензий на выпревание и плесень.		
srednyaya-polosa	fevral	ФЕВРАЛЬ	udobrenie	ogorod	tomat,perets	rassada,grunt	Подкормка рассады томата, перца после появления 2-го настоящего листа комплексным удобрением (NPK) в слабой концентрации.	«Кристалон» или «Фертика Люкс» (NPK ~16:16:16 или аналог) в половинной от указанной на упаковке концентрации — молодые корни в этом возрасте легко обжечь избытком солей. Поливают под корень по уже влажной почве (не сразу после пересушки), примерно раз в 10-14 дней до высадки в грунт.	
srednyaya-polosa	mart	МАРТ	udobrenie	ogorod	tomat,ogurets,kapusta,perets	rassada,grunt	Подкормка рассады томата, перца, капусты комплексным удобрением каждые 10-14 дней. Внесение перегноя/компоста в теплицы под будущую посадку огурца.	«Кемира Люкс» или «Фертика Универсал» (NPK ~16:16:16) — по инструкции на упаковке, обычно 1-2 ст. ложки на 10 л воды, полив под корень раз в 10-14 дней. Для самых молодых сеянцев (до 3 недель) концентрацию снижают вдвое.	
srednyaya-polosa	mart	МАРТ	udobrenie	dekor	barbaris,spireya,doren,puzyreplodnik,gortenziya,veygela,chubushnik,roza	grunt	Подкормка азотным удобрением (мочевина, аммиачная селитра) сразу после снятия зимних укрытий, по спящим почкам — роза, спирея, барбарис, пузыреплодник, дёрен, вейгела, чубушник, гортензия — для стимуляции роста побегов.	Мочевина (карбамид, 15-20 г/м²) или аммиачная селитра (20-25 г/м²) — рассыпают по влажной почве вокруг куста сразу после снятия укрытия, слегка заделывают. Гранулы не должны попадать на кору у корневой шейки — риск ожога.	
srednyaya-polosa	mart	МАРТ	udobrenie	dekor	tuya,mozhzhevelnik,el,sosna	grunt	Подкормка специализированным удобрением для хвойных (с магнием) при плюсовых температурах — туя, можжевельник, ель, сосна.	Например, «Фертика Хвойное» (NPK 10:7:14 + Mg + S) — гранулы рассыпают по проекции кроны из расчёта 60 г/м² и слегка заделывают в почву или мульчу. Повышенное содержание магния и серы поддерживает насыщенный цвет хвои. Вносится в апреле-мае и, при необходимости, повторно в сентябре калийной формой без азота. Летние подкормки не проводят (избыток азота летом снижает морозостойкость и провоцирует грибковые заболевания), органику (навоз, свежий компост) не вносят — закисление и ожог корней.	
srednyaya-polosa	aprel	АПРЕЛЬ	udobrenie	ogorod	kartofel,kapusta,morkov,svekla,luk,chesnok	grunt	Внесение перегноя/компоста и комплексного минерального удобрения при перекопке грядок под картофель, капусту, свёклу, морковь, лук, чеснок. Подкормка чеснока и лука азотом (аммиачная селитра) после отрастания перьев.	Перегной или компост — 3-4 кг/м², комплексное минеральное удобрение (нитроаммофоска) — 30-40 г/м² под перекопку. Аммиачную селитру под чеснок и лук (15-20 г/м²) вносят по влажной почве, не допуская попадания гранул на перья — может вызвать ожог.	
srednyaya-polosa	aprel	АПРЕЛЬ	udobrenie	dekor	hosta,tuya,samshit,klen,paporotnik,astilba,brunnera,geyhera	grunt	Подкормка комплексным удобрением с преобладанием азота — хоста, папоротник, астильба, бруннера, гейхера, клён. Первая подкормка самшита и туи после схода снега.	Комплексное удобрение с преобладанием азота, например «Азофоска» (NPK 16:16:16), — 20-30 г/м² по норме на упаковке. Самшит и тую после схода снега подкармливают тем же комплексным удобрением или специализированным «Фертика Хвойное», рассыпая по поверхности почвы и слегка заделывая — не допуская контакта гранул с корой у корневой шейки.	
srednyaya-polosa	aprel	АПРЕЛЬ	udobrenie	dekor	tuya,mozhzhevelnik,samshit	grunt	Продолжение весенней подкормки удобрением для хвойных (медленнодействующее гранулированное, апрель-май — по данным производителей специализированных хвойных удобрений это основное окно, повторно можно подкормить калийной формой в сентябре).	Например, «Фертика Хвойное» (NPK 10:7:14 + Mg + S) — гранулы рассыпают по проекции кроны из расчёта 60 г/м² и слегка заделывают в почву или мульчу. Повышенное содержание магния и серы поддерживает насыщенный цвет хвои. Вносится в апреле-мае и, при необходимости, повторно в сентябре калийной формой без азота.	
srednyaya-polosa	may	МАЙ	udobrenie	ogorod	tomat,ogurets,kartofel,kapusta,perets,kabachok	rassada,grunt	Подкормка высаженной рассады томата, перца, капусты через 10-14 дней после посадки (настой коровяка или комплексное удобрение). Подкормка картофеля при окучивании (зола, комплексное удобрение). Подкормка огурца и кабачка органикой при появлении 3-4 листьев.	Настой коровяка (1:10 с водой, настоять сутки) или комплексное удобрение «Кемира Люкс» по инструкции. Картофелю при окучивании — древесная зола (1 стакан на куст) или тот же комплекс. Огурцу и кабачку при 3-4 листьях — настой коровяка (1:10) или настой крапивы.	
srednyaya-polosa	may	МАЙ	udobrenie	dekor	spireya,gortenziya,veygela,chubushnik,roza	grunt	Подкормка роз после первой обрезки (азотно-калийное удобрение). Подкормка гортензии удобрением для гортензий (влияет на цвет у некоторых видов). Подкормка вейгелы, чубушника, спиреи после начала цветения азотно-фосфорным составом.	Розам — азотно-калийное удобрение, например «Фертика для роз» по норме на упаковке. Гортензии — специализированное удобрение для гидрангий: кислая формула (с сульфатом алюминия) усиливает синий оттенок соцветий у крупнолистной гортензии, нейтральная сохраняет розовый. Вейгеле, чубушнику, спирее — азотно-фосфорный состав по инструкции.	
srednyaya-polosa	may	МАЙ	udobrenie	dekor	tuya,mozhzhevelnik,samshit	grunt	При слабом росте — некорневая подкормка хелатом железа.	Хелат железа («Феровит» или «Микро-Fe») — 2-3 г на литр воды, опрыскивание по листу в утренние или вечерние часы (не в жару и не под прямым солнцем — риск ожога).	
srednyaya-polosa	iyun	ИЮНЬ	udobrenie	ogorod	tomat,kapusta,morkov,svekla	grunt	Подкормка томата фосфорно-калийным удобрением в период цветения и завязи плодов. Подкормка капусты, свёклы, моркови комплексным удобрением.	Томату в период цветения и завязи — сульфат калия (15-20 г на 10 л воды) или монофосфат калия. Капусте, свёкле, моркови — комплексное удобрение («Кемира» или нитроаммофоска, 25-30 г/м²) под рыхление.	
srednyaya-polosa	iyun	ИЮНЬ	udobrenie	dekor	hosta,klen,bereskleet,roza,astilba	grunt	Подкормка роз фосфорно-калийным удобрением для обильного цветения. Подкормка хосты, астильбы органикой или комплексным удобрением. Внекорневая подкормка клёна и бересклета при бледности листвы.	Розам — фосфорно-калийное удобрение («Фертика для роз», без азота). Хосте, астильбе — настой коровяка (1:10) или комплексное гранулированное удобрение. Клёну и бересклету при бледности листвы — внекорневая подкормка хелатом железа (2-3 г/л) по листу.	
srednyaya-polosa	iyul	ИЮЛЬ	udobrenie	ogorod	tomat,kartofel,kapusta,perets	grunt	Подкормка томата и перца калийным удобрением (сульфат калия) для налива плодов. Подкормка капусты поздних сортов. Прекращение азотных подкормок картофеля (для формирования клубней).	Сульфат калия — 20-25 г на 10 л воды, полив под корень для налива плодов томата и перца. Капусте поздних сортов — тот же состав или монофосфат калия. Азотные подкормки картофеля с этого момента прекращают полностью — избыток азота идёт в ботву в ущерб клубням.	
srednyaya-polosa	iyul	ИЮЛЬ	udobrenie	dekor	gortenziya,roza	grunt	Повторная подкормка роз фосфорно-калийным удобрением после первой волны цветения. Подкормка гортензии продолжается.	Повторная подкормка роз — «Фертика для роз» или монофосфат калия (15-20 г на 10 л воды) после первой волны цветения, стимулирует повторное цветение. Гортензии — та же специализированная формула, что и в мае.	
srednyaya-polosa	avgust	АВГУСТ	udobrenie	ogorod	tomat,kapusta,morkov,svekla	grunt	Последняя подкормка томата калийным удобрением. Прекращение всех азотных подкормок овощных культур (кроме поздней капусты). Подкормка свёклы и моркови калием для лучшей лёжкости.	Последняя подкормка томата — сульфат калия (20 г на 10 л воды) без азота. Свёкле и моркови для лучшей лёжкости — тот же сульфат калия или монофосфат калия. Азотные подкормки всех культур (кроме поздней капусты, которой ещё предстоит нарастить кочан) прекращают полностью.	
srednyaya-polosa	avgust	АВГУСТ	udobrenie	dekor	roza	grunt	Фосфорно-калийная подкормка роз для вызревания побегов (последняя за сезон).	Фосфорно-калийное удобрение без азота, например «Фертика Осень» или монофосфат калия (15-20 г на 10 л воды) — последняя подкормка сезона, помогает побегам вызреть и лучше перенести зиму.	
srednyaya-polosa	sentyabr	СЕНТЯБРЬ	udobrenie	ogorod		grunt	Внесение органики (компост) под перекопку освободившихся грядок.		
srednyaya-polosa	sentyabr	СЕНТЯБРЬ	udobrenie	dekor	barbaris,spireya,puzyreplodnik,gortenziya,veygela,chubushnik,roza	grunt	Осенняя подкормка фосфорно-калийным удобрением (без азота) для повышения зимостойкости — роза, спирея, барбарис, пузыреплодник, гортензия, вейгела, чубушник.	Фосфорно-калийное удобрение без азота — «Фертика Осень» или монофосфат калия (15-20 г на 10 л воды), полив под корень. Азот в этот период исключают полностью — он стимулирует рост новых побегов, которые не успеют вызреть до морозов.	
srednyaya-polosa	sentyabr	СЕНТЯБРЬ	udobrenie	dekor	tuya,mozhzhevelnik,samshit	grunt	Осенняя подкормка калийным удобрением (без азота) для повышения морозостойкости туи, можжевельника, ели — по необходимости.	Калийное удобрение без азота — сульфат калия (15-20 г/м²) или специализированное «Фертика Хвойное осеннее», рассыпают по проекции кроны. Повышает морозостойкость хвои и корневой системы.	
srednyaya-polosa	oktyabr	ОКТЯБРЬ	udobrenie	ogorod		grunt	Внесение перегноя/компоста и фосфорно-калийного удобрения под осеннюю перекопку для культур будущего сезона.	Перегной или компост — 3-4 кг/м², фосфорно-калийное удобрение (суперфосфат + сульфат калия, по 20-30 г/м² каждого) под осеннюю перекопку — фосфор и калий медленно доступны растениям и как раз успевают перейти в усвояемую форму к весне.	
srednyaya-polosa	yanvar	ЯНВАРЬ	obrezka	dekor	roza,tuya,mozhzhevelnik,samshit,plyushch	grunt	Санитарная обрезка сухих и повреждённых ветвей у роз при оттепелях (если укрытие позволяет); контроль снеговой нагрузки, стряхивание тяжёлого мокрого снега с ветвей туи и можжевельника; при оттепелях — отряхивание снега с ветвей самшита и плюща, чтобы избежать разломов и выпревания; удаление уже сломанных снегом веток у декоративных и хвойных при необходимости.		
srednyaya-polosa	mart	МАРТ	obrezka	dekor	barbaris,spireya,doren,puzyreplodnik,gortenziya,bereskleet,lapchatka,veygela,roza	grunt	Во 2-й половине марта – 1-й декаде апреля, по мере схода снега, до распускания почек — санитарная и формирующая обрезка спиреи летнецветущей (весеннецветущие виды обрезают после цветения), барбариса, пузыреплодника, дёрена, бересклета, вейгелы, лапчатки. Обрезка розы (удаление подмёрзших побегов, формировка куста) после снятия укрытия. Обрезка гортензии метельчатой и древовидной (укорачивание побегов прошлого года) — гортензия крупнолистная не обрезается весной (цветёт на старой древесине).	Срезанные при обрезке гортензии ветки можно использовать для размножения — но только прошлогодние (однолетние) побеги, старая многолетняя древесина не укореняется. Два способа: 1) поставить ветки в воду в тёплом помещении на светлый подоконник на срок до 5 суток (ежедневно опрыскивать, раз в несколько дней менять воду и обновлять срез) — почки трогаются в рост, после чего ветки нарезают на черенки с 3-5 почками для укоренения; 2) сразу нарезать срезанные ветки на одревесневшие черенки и укоренять в рыхлой влажной почве — приживаемость ниже, чем у летних зелёных черенков (около 60-65% против более высокой у зелёных).	
